species
Eluma caelata
Gilpinia frutetorum
Ligustrum ovalifolium
Lysimachia nummularia
Cirsium palustre
Ulex europaeus
Deschampsia setacea
Paramesotriton labiatus
Procambarus acutus
Carulaspis juniperi
Larus hyperboreus
Dysaphis angelicae
Usnea subfloridana
Monetaria moneta
Viola wittrockiana
Trifolium tomentosum
Quercus ilex
Aphia minuta
Aphis newtoni
Anser erythropus x Branta leucopsis
Hylotelephium telephium
Scilla forbesii
Lamium amplexicaule
Sagina maritima
Chorthippus mollis
Rumex pulcher
Gasteruption hastator
Barbarea vulgaris
Callitriche platycarpa
Physatocheila costata
Nysius senecionis
Thrips validus
Aoplus personatus
Vanellus gregarius
Lavandula stoechas
Biatora chrysantha
Pionus menstruus
Nymphaea alba
Astarte omalii
Stellaria palustris
Falcaria vulgaris
Poa nemoralis
Vulpia ciliata
Menyanthes trifoliata
Megastigmus spermotrophus
Calliergon cordifolium
Ammophila sabulosa
Arundo donax
Lamproplax picea
Incisocalliope aestuarius
Alcea rugosa
Lemna turionifera
Marenzelleria neglecta
Potentilla mixta
Enderleinella obsoleta
Lupinus luteus
Tetragonia tetragonioides
Physalis pubescens
Lepidium virginicum
Itoplectis maculator
Dryopteris carthusiana
Andrena fuscipes
Sphagnum magellanicum
Hawaiia minuscula
Aulacomnium palustre
Buglossidium luteum
Taxus baccata
Evacanthus interruptus
Camassia leichtlinii
Rumex cristatus
Panicum clandestinum
Rhynchalastor xanthomelas
Cotula coronopifolia
Malacorhynchus membranaceus
Spilomena troglodytes
Ribes nigrum
Rhyssa persuasoria
Sphagnum capillifolium
Sympecma fusca
Scrophularia nodosa
Phyllodesma tremulifolia
Motacilla alba
Euphorbia oblongata
Lasioglossum xanthopus
Veronica austriaca
Rosa glauca
Cyrtodaria angusta
Bombus hypnorum
Koeleria macrantha
Lolium rigidum
Glareola nordmanni
Rubus sulcatus
Matthiola longipetala
Carex sylvatica
Delphinium consolida
Atriplex micrantha
Hypochaeris glabra
Setaria verticillata
Panicum miliaceum
Bromus hordeaceus
Circus macrourus
Digitaria ischaemum
Roeseliana roeselii
Chalcophaps indica
Prunella laciniata
Trigonotylus ruficornis
Salamandra atra
Labia minor
Oenothera drawertii
Polygala comosa
Cladonia coniocraea
Epilobium roseum
Heracleum sphondylium
Leptopterna ferrugata
Caenis horaria
Ctenichneumon devylderi
Psittacula derbiana
Medicago littoralis
Acalypta parvula
Oxalis debilis
Dimorphotheca pluvialis
Sialis fuliginosa
Hypophthalmichthys nobilis
Salix subsericea
Polysiphonia senticulosa
Thrips sambuci
Physatocheila smreczynskii
Crocus tommasinianus
Gomphocarpus fruticosus
Ciconia ciconia
Sedum album
Miscanthus sacchariflorus
Gravesteiniella boldi
Larus fuscus
Forsythia suspensa
Lampetra planeri
Dendrocygna eytoni
Matteuccia struthiopteris
Philoscia muscorum
Rhabdomiris striatellus
Heleobia charruana
Emberiza aureola
Stachys recta
Upupa epops
Dendrothrips ornatus
Ichneumon melanotis
Lonicera periclymenum
Physatocheila dumetorum
Homonotus sanguinolentus
Papaver pavoninum
Triaenodes bicolor
Parthenolecanium pomeranicum
Echinops exaltatus
Bupleurum croceum
Ranunculus bulbosus
Peritrechus geniculatus
Achnatherum miliaceum
Hordeum murinum
Salvia rosmarinus
Filago germanica
Lepomis gibbosus
Eragrostis tef
Dryophilocoris flavoquadrimaculatus
Elaeagnus angustifolia
Cercopis vulnerata
Parablennius gattorugine
Melittobia acasta
Nematinus steini
Anax parthenope
Rosa nitida
Numenius phaeopus
Tringa nebularia
Tapinoma erraticum
Salix capreola
Eremocoris podagricus
Aneurus avenius
Hemerobius micans
Ligularia dentata
Oenothera suaveolens
Phelipanche purpurea
Thymallus thymallus
Pontania collactanea
Aleurochiton pseudoplatani
Clarkia unguiculata
Platycercus eximius
Linum catharticum
Milvago chimachima
Dikerogammarus villosus
Scutellaria altissima
Picus canus
Erigeron daveauanus
Aira praecox
Pseudococcus longispinus
Symphytum tuberosum
Campylomma annulicorne
Aphis urticata
Acipenser ruthenus
Psenulus pallipes
Bucephala clangula
Agapetus fuscipes
Tenthredopsis coquebertii
Tetrix tenuicornis
Myriophyllum alterniflorum
Bombus rupestris
Reesa vespulae
Lasiommata megera
Tarenaya guaranitica
Nicotiana glauca
Salix euxina
Viola lactea
Erica tetralix
Carex flava
Arctocorisa germari
Paracorixa concinna
Ilex aquifolium
Sceliphron curvatum
Bupleurum subovatum
Cerastoderma glaucum
Aulogymnus aceris
Ludwigia palustris
Cymus glandicolor
Amaranthus palmeri
Acantholyda erythrocephala
Periclista pilosa
Macropus rufogriseus
Chorosoma schillingii
Poa angustifolia
Emberiza cirlus
Megachile maritima
Amblyraja radiata
Zannichellia palustris
Nothochrysa fulviceps
Silene noctiflora
Centaurea cyanus
Cerobasis guestfalica
Phedimus aizoon
Micromus angulatus
Paris quadrifolia
Quercus robur
Crossocerus binotatus
Ruditapes decussatus
Dytiscus marginalis
Japananus hyalinus
Callipterinella tuberculata
Calandrella rufescens
Athallia cerinelloides
Myrmica sulcinodis
Kybos rufescens
Carex acutiformis
Ipomoea heptaphylla
Cucumis melo
Euscorpius italicus
Tetraneura caerulescens
Lomelosia caucasica
Brachyscome iberidifolia
Ludwigia peploides
Heteropoda venatoria
Ciconia abdimii
Crytea erythraea
Geotrupes stercorarius
Drymus ryeii
Oedaleus decorus
Trialeurodes ericae
Rubus scissus
Diplolepis eglanteriae
Aria edulis
Nicotiana langsdorffii
Amaranthus caudatus
Chorthippus biguttulus
Cladius compressicornis
Aphis grossulariae
Corynephorus canescens
Berberis gagnepainii
Vanessa cardui
Cirsium arvense
Ocimum basilicum
Matricaria chamomilla
Euthystira brachyptera
Fagus sylvatica
Vanellus miles
Erythromma viridulum
Philadelphus microphyllus
Dianthus carthusianorum
Appendiseta robiniae
Leopoldia comosa
Muirodelphax aubei
Foeniculum vulgare
Edwardsiana tersa
Podoschistus scutellaris
Aeshna cyanea
Lamium maculatum
Neottia nidus-avis
Echium pininana
Nomada leucophthalma
Galium pumilum
Cornus mas
Oxybasis urbica
Populus alba
Corynabutilon ochsenii
Nomada opaca
Elatine triandra
Cryptomyzus ribis
Lepyrodiclis holosteoides
Nysson spinosus
Symphyotrichum laeve
Procloeon bifidum
Megachile ericetorum
Cephalanthera damasonium
Gladiolus italicus
Arge cyanocrocea
Holcus mollis
Porzana parva
Hiatella arctica
Barbitistes serricauda
Lichenothelia convexa
Callajoppa cirrogaster
Merionoeda hirsuta
Diodontus minutus
Acanthothrips nodicornis
Stellaria neglecta
Capsella rubella
Lamprotornis purpureus
Eucera longicornis
Ulex gallii
Echinacea purpurea
Ilex crenata
Oenothera biennis
Actitis macularius
Echinops sphaerocephalus
Geranium cantabrigiense
Juncus pallidus
Eleocharis uniglumis
Petrosedum rupestre
Campanula medium
Calliostoma occidentale
Neurotoma mandibularis
Ranunculus repens
Neohydatothrips gracilicornis
Avena fatua
Triticum aestivum
Anthocoris limbatus
Calendula arvensis
Trigonaspis synaspis
Apus apus
Raphanus sativus
Phylloscopus proregulus
Athysanus argentarius
Isothecium myosuroides
Ara ararauna
Ischnodemus sabuleti
Helianthus laetiflorus
Chorthippus albomarginatus
Sideritis montana
Juncus hybridus
Carex caryophyllea
Closterotomus fulvomaculatus
Reseda lutea
Himacerus major
Lyctocoris campestris
Myosotis ramosissima
Goera pilosa
Crossocerus varus
Culicoides punctatus
Vespula vulgaris
Gaidropsarus vulgaris
Spiraea chamaedryfolia
Spiraea alba
Formica polyctena
Ceromya fera
Cleptes semiauratus
Geranium sylvaticum
Oxyria digyna
Orthotylus flavinervis
Atriplex portulacoides
Merops persicus
Eumenes coronatus
Arachnospila anceps
Medicago laciniata
Aquila nipalensis
Polycarpon alsinifolium
Rubus bertramii
Mentha suaveolens
Hydropsyche saxonica
Equisetum fluviatile
Triturus cristatus
Sympherobius klapaleki
Scirpus sylvaticus
Melanitta perspicillata
Acridotheres tristis
Polistes dominula
Aguriahana stellulata
Phoenix dactylifera
Cavia porcellus
Heterarthrus cuneifrons
Symphyotrichum versicolor
Viburnum davidii
Poemenia hectica
Sphecodes albilabris
Argyresthia thuiella
Helleborus niger
Symmorphus debilitatus
Phyteuma nigrum
Liocoris tripustulatus
Saxicola rubicola
Sedum lydium
Bromus lanceolatus
Zantedeschia albomaculata
Trifolium arvense
Inocellia crassicornis
Rhytidiadelphus subpinnatus
Triturus marmoratus
Salvia pratensis
Vicia bithynica
Magallana gigas
Coelichneumon desinatorius
Valenzuela piceus
Carex hirta
Sarkidiornis melanotos
Andrena rosae
Chaitophorus populeti
Borago officinalis
Symmorphus bifasciatus
Artemisia crithmifolia
Deltocephalus pulicaris
Hylaeus pictipes
Gerris argentatus
Pseudogonalos hahnii
Nassarius labiosus
Eysarcoris venustissimus
Spiraea rosalba
Equisetum variegatum
Plantago uliginosa
Sympherobius pygmaeus
Ianiropsis serricaudis
Philotarsus picicornis
Lobelia erinus
Chelostoma rapunculi
Limnephilus luridus
Skimmia japonica
Dolerus haematodes
Arge ciliaris
Puschkinia scilloides
Rosalia alpina
Aphis spiraecola
Galanthus plicatus
Mentha aquatica
Cenchrus echinatus
Orthotylus tenellus
Anacamptis morio
Phyllocolpa purpureae
Adomerus biguttatus
Anthrenus angustefasciatus
Oxyura jamaicensis
Podalonia luffii
Turdus pilaris
Sphaerophorus globosus
Chamaenerion angustifolium
Aegilops cylindrica
Oenothera biennis × glazioviana
Bombus soroeensis
Holopyga fastuosa
Libellula depressa
Xanthium strumarium
Empicoris culiciformis
Oenothera perangusta
Kindbergia praelonga
Osmia aurulenta
Linnavuoriana sexmaculata
Scapania nemorea
Hibiscus acetosella
Notonecta obliqua
Dactylorhiza viridis
Andrena cineraria
Eremocoris fenestratus
Lasioglossum malachurum
Rhynchophorus ferrugineus
Noccaea caerulescens
Pecten grandis
Agrimonia procera
Rosa villosa
Betonica macrantha
Hoplitis claviventris
Rumex erubescens
Anthus cervinus
Ironoquia dubia
Rosa caesia
Pacifastacus leniusculus
Cornus sanguinea
Levisticum officinale
Diplolepis mayri
Phaedrotoma exigua
Tenthredo ferruginea
Hypericum dubium
Rumex crispus
Acer platanoides
Clarias gariepinus
Viola odorata
Hemigrapsus takanoi
Alosa fallax
Sphecodes gibbus
Baranisobas ridibundus
Viola reichenbachiana
Holopyga ignicollis
Galerida cristata
Carex leersii
Carex bohemica
Luzula pilosa
Trifolium hybridum
Megachile rotundata
Erigeron bonariensis
Potamogeton berchtoldii × pusillus
Prokelisia marginata
Veronica peregrina
Lobelia pedunculata
Aphis ilicis
Leptopterna dolabrata
Gypaetus barbatus
Didymium nigripes
Lestes dryas
Arachnospila spissa
Thrips fuscipennis
Bidens aurea
Apatura iris
Quercus rosacea
Cynoglossum officinale
Lestes barbarus
Rubus nemorosus
Dinetus pictus
Microvelia pygmaea
Coracias abyssinicus
Ephoron virgo
Nardus stricta
Eophona migratoria
Xanthium spinosum
Acanthospermum hispidum
Edwardsiana candidula
Caliadurgus fasciatellus
Polyommatus coridon
Anaphalis triplinervis
Succisa pratensis
Rhaphiolepis loquata
Rosa subcanina
Gampsocoris punctipes
Micarea peliocarpa
Cacopsylla ulmi
Andryala integrifolia
Andrena pandellei
Himacerus apterus
Zaglyptus multicolor
Aframomum melegueta
Tragopogon porrifolius
Evacanthus acuminatus
Stenotus binotatus
Prunus padus
Lolium persicum
Bathysolen nubilus
Virgichneumon maculicauda
Trypocopris vernalis
Alopecurus pratensis
Trioza remota
Ephippiger diurnus
Tetrix bipunctata
Tellima grandiflora
Geum coccineum
Lype reducta
Mycale micracanthoxea
Anas versicolor
Cerinthe major
Astragalus glycyphyllos
Arabis alpina
Geranium lucidum
Sporobolus indicus
Leptinella dispersa
Cetorhinus maximus
Dufouriellus ater
Callitriche obtusangula
Lasioglossum rufitarse
Hippocrepis emerus
Nomada panzeri
Deroceras invadens
Cyperus esculentus
Hypnum jutlandicum
Patrocloides diasemae
Panorpa communis
Cimex lectularius
Vespa crabro
Coranus woodroffei
Imperatoria ostruthium
Acrocephalus paludicola
Turritis glabra
Euura atra
Satureja hortensis
Aedes annulipes
Dryopteris cycadina
Anoecia corni
Sibine stimulea
Hydropsyche angustipennis
Vulpia membranacea
Anoplius nigerrimus
Xanthostigma xanthostigma
Periphyllus acericola
Melica uniflora
Umbra pygmaea
Edwardsiana geometrica
Batocera lineolata
Lonicera acuminata
Stictocephala bisonia
Ophrys sphegodes
Cytisus multiflorus
Lepyronia coleoptrata
Eurhadina loewii
Urocissa erythroryncha
Lipandra polysperma
Colletes similis
Erythranthe moschata
Typha minima
Acericerus vittifrons
Vulgichneumon suavis
Passaloecus eremita
Cairina moschata
Bromus catharticus
Cybister lateralimarginalis
Cryptorchestia cavimana
Viburnum tinus
Trialeurodes vaporariorum
Arge berberidis
Laportea aestuans
Theristicus melanopis
Dipsacus laciniatus
Ectemnius cephalotes
Oxybasis rubra
Tilia platyphyllos
Agapornis roseicollis
Amaranthus cruentus
Ulmus procera
Macrotylus solitarius
Neochmia ruficauda
Javesella discolor
Tulipa urumiensis
Euphorbia exigua
Nymphalis antiopa
Limenitis camilla
Atyaephyra desmarestii
Hypsopygia nostralis
Buddleja davidii
Tringa totanus
Cosmos bipinnatus
Centaurea diffusa
Leucanthemum ircutianum
Mermitelocerus schmidtii
Lonchura striata
Rosa stylosa
Sorbaria kirilowii
Malva nicaeensis
Populus canescens
Epeolus tarsalis
Myrmica schencki
Lyrurus tetrix
Episyron rufipes
Leonurus cardiaca
Potamogeton pusillus
Cacopsylla brunneipennis
Dictyonota fuliginosa
Symmorphus connexus
Florodelphax leptosoma
Sonchus tenerrimus
Passiflora edulis
Sarracenia purpurea
Artemisia dracunculus
Parus major
Barbus barbus
Anas crecca
Eragrostis minor
Lasioderma serricorne
Sporobolus anglicus
Rubus iuvenis
Cryptomeria japonica
Taxonus agrorum
Amphorophora rubi
Galium aparine
Rubus incisior
Rubus muridens
Scolopax rusticola
Reduvius personatus
Chenopodium betaceum
Senecio vulgaris
Hydropsyche pellucidula
Arthaldeus pascuellus
Argogorytes mystaceus
Calidris maritima
Mentha gentilis
Oenothera subterminalis
Lestica subterranea
Hyadaphis foeniculi
Prunus persica
Rosa chinensis
Apolygus lucorum
Sympetrum striolatum
Sisyrinchium californicum
Ranunculus lingua
Trifolium rubens
Vaccinium vitis-idaea
Acer rubrum
Megascops kennicottii
Dichatomus acerinus
Gryllotalpa gryllotalpa
Neolygus populi
Nomada fabriciana
Gryllus campestris
Iris germanica
Zeus faber
Andricus gemmeus
Chenopodium album
Flexopecten flexuosus
Ovis aries
Zygina griseombra
Merops apiaster
Aeshna isoceles
Silene gallica
Phylus melanocephalus
Aesculus pavia
Rumex thyrsiflorus
Hoplandrothrips ellisi
Aphis idaei
Fumaria officinalis
Rosa agrestis
Lecanora compallens
Phytocoris tiliae
Polytelis swainsonii
Polygonia c-album
Pseudemys nelsoni
Bolboschoenus maritimus
Teucrium chamaedrys
Nomada femoralis
Nomada bifasciata
Hyperomyzus lactucae
Sphagnum squarrosum
Apethymus filiformis
Cygnus buccinator
Chrysis ignita
Endromopoda detrita
Hypolimnas bolina
Sisyrinchium montanum
Persicaria lapathifolia x maculosa
Crataegus monogyna
Galeopsis bifida
Chrysolophus pictus
Motacilla citreola
Charadrius pecuarius
Marthasterias glacialis
Mesopsocus immunis
Cichorium intybus
Notostira elongata
Mesopsocus fuscifrons
Graptemys ouachitensis
Orthops kalmii
Glyceria declinata
Lithoglyphus naticoides
Stigmus solskyi
Agallia consobrina
Stauronematus platycerus
Ametastegia carpini
Macrosiphum euphorbiae
Polytelis anthopeplus
Hieracium maculatum
Bubo virginianus
Epilobium parviflorum
Aproceros leucopoda
Dolerus nigratus
Ichneumon insidiosus
Sciurus niger
Verbena incompta
Corydalis cheilanthifolia
Netta peposaca
Paeonia lactiflora
Hydrocotyle sibthorpioides
Rumex palustris
Hypericum maculatum
Hercostomus chalybeus
Phleum phleoides
Bombus bohemicus
Scrophularia neesii
Microcarbo pygmaeus
Phlebodium aureum
Nerium oleander
Campanula garganica
Geranium rotundifolium
Pulmonaria officinalis
Cladius brullei
Cotoneaster atuntzensis
Lathraea clandestina
Sternochetus mangiferae
Andrena minutuloides
Darmera peltata
Xenos vesparum
Colobopterus erraticus
Rorippa austriaca
Corvus corone
Carex digitata
Euspira helicina
Ceratocapnos claviculata
Petrosedum sediforme
Pinalitus cervinus
Epitonium clathrus
Rhopalopyx elongata
Cladonia portentosa
Hylaeus gredleri
Geranium oxonianum
Lasioglossum quadrinotatum
Juniperus communis
Delphax crassicornis
Typha latifolia
Pterocomma tremulae
Pentastiridius leporinus
Mystacides niger
Hoplocampa testudinea
Hypophthalmichthys molitrix
Navarretia squarrosa
Cotoneaster bullatus
Myrmica ruginodis
Aesculus hippocastanum
Erica carnea
Juglans mandshurica
Dendrocygna autumnalis
Mentha requienii
Rubus elegantispinosus
Euphorbia glyptosperma
Cotoneaster mairei
Verbascum chaixii
Orchis militaris
Sedum cepaea
Centaurea debeauxii
Diuraphis frequens
Aphis polygonata
Kleidocerys resedae
Cryptococcus fagisuga
Lasius fuliginosus
Cloeon simile
Graphocraerus ventralis
Galega officinalis
Amsinckia intermedia
Leucorrhinia caudalis
Thrips alni
Sagina alexandrae
Salvinia auriculata
Pseudostenophylax incisus
Picromerus bidens
Nysius ericae
Myosotis discolor
Photinia floribunda
Triodanis perfoliata
Suaeda maritima
Adarrus multinotatus
Branchiostoma lanceolatum
Rubus flexuosus
Ditropis pteridis
Viburnum lantana
Ephialtes manifestator
Patella vulgata
Elymus repens
Aedes detritus
Liorhyssus hyalinus
Portulaca sativa
Picris hieracioides
Adicella reducta
Monticola saxatilis
Adoxa moschatellina
Galeopsis bifida × tetrahit
Andricus corruptrix
Crypteffigies lanius
Pseudopodospermum hispanicum
Sambucus nigra
Macrolophus pygmaeus
Mnium hornum
Prunella vulgaris
Salix sepulcralis
Salix friesiana
Myzus cerasi
Fenestrulina delicia
Cinara pilicornis
Dolerus madidus
Apechthis quadridentata
Delosperma aberdeenense
Orthotylus adenocarpi
Buteo lagopus
Crataegus pedicellata
Prociphilus bumeliae
Amblyjoppa fuscipennis
Hypericum densiflorum
Mytilus edulis
Sepsis cynipsea
Lybius dubius
Pilosella praealta
Verbascum virgatum
Laodelphax striatellus
Gerris lacustris
Lepidotarphius perornatella
Jasminum nudiflorum
Microvelia reticulata
Arctium nothum
Athene noctua
Collinsia heterophylla
Methocha articulata
Oenothera canovirens
Adelphocoris lineolatus
Taeniopygia guttata
Compsidolon salicellum
Asperula arvensis
Crassula tillaea
Mystacides azureus
Cryptocheilus variipennis
Petroselinum crispum
Puccinellia maritima
Raja undulata
Spiraea arguta
Campyloneura virgula
Diplotaxis virgata
Philomachus pugnax
Oncopsis flavicollis
Anas undulata
Lachnus iliciphilus
Colletes fodiens
Cygnus olor
Ipomoea purpurea
Micromus paganus
Filago congesta
Chaenomeles japonica
Taraxacum anglicum
Hylotelephium maximum
Lepidium draba
Ardeola ralloides
Rhododendron ponticum
Lantana camara
Impatiens parviflora
Muntiacus reevesi
Stictopleurus abutilon
Neslia paniculata
Ichneumon emancipatus
Kerria japonica
Sciapteryx costalis
Melecta albifrons
Carterocephalus palaemon
Euplectes franciscanus
Hypecoum pendulum
